topic,subject,relation,object,question,output_gemma_1.1_2b_it,eval_gemma_1.1_2b_it,multiple_choices,paraphrased_question,yes_question,no_question,locality_question,reversed_relation_question,multiple_choice_with_letters,multiple_choice_labels
health_disease,vitreous hemorrhage,anatomical location,vitreous humour,What is the anatomical location of vitreous hemorrhage?,Vitreous hemorrhage is located within the vitreous humor of the eye,0.0,"['vitreous humour', 'Vitreous hemorrhage is located within the vitreous humor of the eye', 'retina', 'cornea']",Where is a vitreous hemorrhage anatomically located?,Is the anatomical location of vitreous hemorrhage the vitreous humour?,Is the anatomical location of vitreous hemorrhage Vitreous hemorrhage is located within the vitreous humor of the eye?,What is a common symptom associated with vitreous hemorrhage?,What condition occurs in the vitreous humour?,A. vitreous humour  B. cornea  C. retina  D. Vitreous hemorrhage is located within the vitreous humor of the eye,A
health_disease,posterior ischemic optic neuropathy,health specialty,ophthalmology,What is the health specialty of posterior ischemic optic neuropathy?,Visual field preservation,0.0,"['ophthalmology', 'Visual field preservation', 'neurology', 'cardiology']",Which medical field specializes in posterior ischemic optic neuropathy?,Is the health specialty of posterior ischemic optic neuropathy ophthalmology?,Is the health specialty of posterior ischemic optic neuropathy Visual field preservation?,What part of the body is primarily affected by posterior ischemic optic neuropathy?,What condition is ophthalmology a health specialty for?,A. Visual field preservation  B. neurology  C. ophthalmology  D. cardiology,C
health_disease,X-linked recessive chondrodysplasia punctata,health specialty,medical genetics,What is the health specialty of X-linked recessive chondrodysplasia punctata?,Osteochondropathy,0.0,"['medical genetics', 'Osteochondropathy', 'Pediatrics', 'Orthopedics']",Which medical field specializes in X-linked recessive chondrodysplasia punctata?,Is the health specialty of X-linked recessive chondrodysplasia punctata medical genetics?,Is the health specialty of X-linked recessive chondrodysplasia punctata Osteochondropathy?,What type of genetic inheritance pattern is associated with X-linked recessive chondrodysplasia punctata?,What condition is associated with the health specialty of medical genetics?,A. medical genetics  B. Pediatrics  C. Osteochondropathy  D. Orthopedics,A
health_disease,airway obstruction,possible treatment,airway management,What is the possible treatment of airway obstruction?,Immediate evaluation and management of airway obstruction by qualified healthcare professionals is crucial,0.0,"['airway management', 'Immediate evaluation and management of airway obstruction by qualified healthcare professionals is crucial', 'oxygen therapy', 'bronchodilators']",What treatment can be used for airway obstruction?,Is airway management a possible treatment for airway obstruction?,Is Immediate evaluation and management of airway obstruction by qualified healthcare professionals is crucial a possible treatment for airway obstruction?,What is a common cause of airway obstruction?,What condition can be treated with airway management?,A. oxygen therapy  B. bronchodilators  C. Immediate evaluation and management of airway obstruction by qualified healthcare professionals is crucial  D. airway management,D
health_disease,mucinous cystadenoma,health specialty,oncology,What is the health specialty of mucinous cystadenoma?,Gastrointestinal,0.0,"['oncology', 'Gastrointestinal', 'Cardiology', 'Neurology']",Which medical field specializes in mucinous cystadenoma?,Is the health specialty of mucinous cystadenoma oncology?,Is the health specialty of mucinous cystadenoma Gastrointestinal?,What type of tumor is a mucinous cystadenoma?,What condition is associated with the health specialty of oncology?,A. Gastrointestinal  B. oncology  C. Neurology  D. Cardiology,B
health_disease,obstetrical hemorrhage,health specialty,obstetrics,What is the health specialty of obstetrical hemorrhage?,Obstetrical hemorrhage involves management of maternal bleeding during pregnancy,0.0,"['obstetrics', 'Obstetrical hemorrhage involves management of maternal bleeding during pregnancy', 'gynecology', 'hematology']",Which medical field deals with obstetrical hemorrhage?,Is the health specialty of obstetrical hemorrhage obstetrics?,Is the health specialty of obstetrical hemorrhage 'Obstetrical hemorrhage involves management of maternal bleeding during pregnancy'?,What is a common procedure performed in the field of obstetrics?,What condition is managed within the health specialty of obstetrics?,A. obstetrics  B. Obstetrical hemorrhage involves management of maternal bleeding during pregnancy  C. hematology  D. gynecology,A
health_disease,De Quervain's thyroiditis,health specialty,endocrinology,What is the health specialty of De Quervain's thyroiditis?,Hypothyroidism,0.0,"['endocrinology', 'Hypothyroidism', 'cardiology', 'neurology']",Which medical specialty deals with De Quervain's thyroiditis?,Is the health specialty of De Quervain's thyroiditis endocrinology?,Is the health specialty of De Quervain's thyroiditis Hypothyroidism?,What type of inflammation is associated with De Quervain's thyroiditis?,What condition is associated with the health specialty of endocrinology?,A. cardiology  B. endocrinology  C. neurology  D. Hypothyroidism,B
health_disease,variant Creutzfeldt–Jakob disease,health specialty,infectious diseases,What is the health specialty of variant Creutzfeldt–Jakob disease?,Neurodegenerative disorder,0.0,"['infectious diseases', 'Neurodegenerative disorder', 'Cardiology', 'Dermatology']",Which medical specialty deals with variant Creutzfeldt–Jakob disease?,Is the health specialty of variant Creutzfeldt–Jakob disease infectious diseases?,Is the health specialty of variant Creutzfeldt–Jakob disease Neurodegenerative disorder?,What type of disease is variant Creutzfeldt–Jakob disease?,What disease is associated with the health specialty of infectious diseases?,A. Cardiology  B. Neurodegenerative disorder  C. Dermatology  D. infectious diseases,D
health_disease,periodontal abscess,health specialty,dentistry,What is the health specialty of periodontal abscess?,Periodontal abscess is the health specialty of periodontal disease,0.0,"['dentistry', 'Periodontal abscess is the health specialty of periodontal disease', 'cardiology', 'neurology']",Which health specialty deals with periodontal abscess?,Is dentistry the health specialty of periodontal abscess?,Is Periodontal abscess is the health specialty of periodontal disease the health specialty of periodontal abscess?,What is a common treatment method used in dentistry?,What condition is associated with the health specialty of dentistry?,A. dentistry  B. neurology  C. cardiology  D. Periodontal abscess is the health specialty of periodontal disease,A
health_disease,stable angina,health specialty,cardiology,What is the health specialty of stable angina?,Stable angina involves coronary artery disease symptoms,0.0,"['cardiology', 'Stable angina involves coronary artery disease symptoms', 'neurology', 'dermatology']",Which medical specialty deals with stable angina?,Is cardiology the health specialty of stable angina?,Is Stable angina involves coronary artery disease symptoms the health specialty of stable angina?,What type of condition is stable angina primarily associated with?,What condition does cardiology specialize in treating?,A. neurology  B. Stable angina involves coronary artery disease symptoms  C. cardiology  D. dermatology,C
