topic,subject,relation,object,question,output_gpt_j_6b,eval_gpt_j_6b,multiple_choices,paraphrased_question,yes_question,no_question,locality_question,reversed_relation_question,multiple_choice_with_letters,multiple_choice_labels
geography_glacier,Glärnisch,key col,Klausen Pass,Who is the key col of Glärnisch?,The key col of Glärnisch is the key col of the key,0.0,"['Klausen Pass', 'The key col of Glärnisch is the key col of the key', 'Susten Pass', 'Gotthard Pass']",What is the key col of Glärnisch?,Is Klausen Pass the key col of Glärnisch?,Is the key col of Glärnisch the key col of the key?,What mountain range is Glärnisch a part of?,What mountain has Klausen Pass as its key col?,A. Susten Pass  B. Gotthard Pass  C. Klausen Pass  D. The key col of Glärnisch is the key col of the key,C
geography_glacier,Bering Glacier,located in the administrative territorial entity,Alaska,What is the located in the administrative territorial entity of Bering Glacier?,Bering Glacier is located in the administrative territorial entity of Bering Strait,0.0,"['Alaska', 'Bering Glacier is located in the administrative territorial entity of Bering Strait', 'Canada', 'Greenland']",In which administrative territorial entity is Bering Glacier located?,Is Bering Glacier located in the administrative territorial entity of Alaska?,Is Bering Glacier located in the administrative territorial entity of Bering Strait?,What is a well-known feature of Bering Glacier?,What glacier is located in the administrative territorial entity of Alaska?,A. Bering Glacier is located in the administrative territorial entity of Bering Strait  B. Alaska  C. Canada  D. Greenland,B
geography_glacier,Portage Glacier,located in the administrative territorial entity,Alaska,What is the located in the administrative territorial entity of Portage Glacier?,Portage Glacier is located in the administrative territorial entity of Portage Glacier,0.0,"['Alaska', 'Portage Glacier is located in the administrative territorial entity of Portage Glacier', 'Canada', 'Greenland']",In which administrative territorial entity is Portage Glacier located?,Is Alaska the administrative territorial entity where Portage Glacier is located?,Is Portage Glacier located in the administrative territorial entity of Portage Glacier?,What is a famous natural feature found in Alaska?,What glacier is located in the administrative territorial entity of Alaska?,A. Alaska  B. Greenland  C. Portage Glacier is located in the administrative territorial entity of Portage Glacier  D. Canada,A
geography_glacier,Worthington Glacier,located in the administrative territorial entity,Alaska,What is the located in the administrative territorial entity of Worthington Glacier?,The Worthington Glacier is located in the administrative territorial entity of Worthington,0.0,"['Alaska', 'The Worthington Glacier is located in the administrative territorial entity of Worthington', 'Canada', 'Greenland']",In which administrative territorial entity is Worthington Glacier located?,Is Worthington Glacier located in the administrative territorial entity of Alaska?,Is Worthington Glacier located in the administrative territorial entity of Worthington?,What is a well-known feature of Worthington Glacier?,What glacier is located in the administrative territorial entity of Alaska?,A. Alaska  B. Canada  C. The Worthington Glacier is located in the administrative territorial entity of Worthington  D. Greenland,A
geography_glacier,Gangotri Glacier,located in the administrative territorial entity,Uttarkashi district,What is the located in the administrative territorial entity of Gangotri Glacier?,Gangotri Glacier is located in the administrative territorial entity of Gangotri Glacier,0.0,"['Uttarkashi district', 'Gangotri Glacier is located in the administrative territorial entity of Gangotri Glacier', 'Dehradun district', 'Chamoli district']",In which administrative territorial entity is Gangotri Glacier situated?,Is Gangotri Glacier located in the administrative territorial entity of Uttarkashi district?,Is Gangotri Glacier located in the administrative territorial entity of Gangotri Glacier?,What is a famous river that originates from Gangotri Glacier?,What is located in the administrative territorial entity of Uttarkashi district?,A. Gangotri Glacier is located in the administrative territorial entity of Gangotri Glacier  B. Uttarkashi district  C. Dehradun district  D. Chamoli district,B
geography_glacier,Biafo Glacier,mountain range,Karakoram,What is the mountain range of Biafo Glacier?,Biafo Glacier,0.0,"['Karakoram', 'Biafo Glacier', 'Himalayas', 'Andes']",Which mountain range is Biafo Glacier part of?,Is the mountain range of Biafo Glacier the Karakoram?,Is the mountain range of Biafo Glacier the Biafo Glacier?,What is a well-known feature of the Biafo Glacier?,Which glacier is part of the Karakoram mountain range?,A. Karakoram  B. Andes  C. Himalayas  D. Biafo Glacier,A
geography_glacier,Miage Glacier,located in the administrative territorial entity,Courmayeur,What is the located in the administrative territorial entity of Miage Glacier?,Miage Glacier is located in the administrative territorial entity of Miage Glacier,0.0,"['Courmayeur', 'Miage Glacier is located in the administrative territorial entity of Miage Glacier', 'Aosta Valley', 'Mont Blanc']",In which administrative territorial entity is Miage Glacier located?,Is Miage Glacier located in the administrative territorial entity of Courmayeur?,Is Miage Glacier located in the administrative territorial entity of Miage Glacier is located in the administrative territorial entity of Miage Glacier?,What mountain range is Miage Glacier part of?,What glacier is located in the administrative territorial entity of Courmayeur?,A. Courmayeur  B. Miage Glacier is located in the administrative territorial entity of Miage Glacier  C. Aosta Valley  D. Mont Blanc,A
geography_glacier,Argentière Glacier,located in the administrative territorial entity,Chamonix-Mont-Blanc,What is the located in the administrative territorial entity of Argentière Glacier?,The administrative territorial entity of Argentière Glacier is the commune of Argenti,0.0,"['Chamonix-Mont-Blanc', 'The administrative territorial entity of Argentière Glacier is the commune of Argenti', 'Mont Blanc', 'Haute-Savoie']",In which administrative territorial entity is Argentière Glacier located?,Is Argentière Glacier located in the administrative territorial entity of Chamonix-Mont-Blanc?,Is Argentière Glacier located in the administrative territorial entity of The administrative territorial entity of Argentière Glacier is the commune of Argenti?,What mountain range is Argentière Glacier a part of?,What glacier is located in the administrative territorial entity of Chamonix-Mont-Blanc?,A. Chamonix-Mont-Blanc  B. Mont Blanc  C. Haute-Savoie  D. The administrative territorial entity of Argentière Glacier is the commune of Argenti,A
geography_glacier,Skelton Glacier,mountain range,Royal Society Range,What is the mountain range of Skelton Glacier?,Skelton Glacier,0.0,"['Royal Society Range', 'Skelton Glacier', 'Transantarctic Mountains', 'Queen Maud Mountains']",Which mountain range is Skelton Glacier part of?,Is the mountain range of Skelton Glacier the Royal Society Range?,Is the mountain range of Skelton Glacier the Skelton Glacier?,What continent is Skelton Glacier located on?,Which glacier is part of the Royal Society Range?,A. Royal Society Range  B. Queen Maud Mountains  C. Skelton Glacier  D. Transantarctic Mountains,A
geography_glacier,Skelton Glacier,named after,Skelton Inlet,What was Skelton Glacier named after?,"Skelton Glacier was named after the British poet, John Skelton",0.0,"['Skelton Inlet', 'Skelton Glacier was named after the British poet, John Skelton', 'Ross Ice Shelf', 'McMurdo Sound']",What is the namesake of Skelton Glacier?,Was Skelton Glacier named after Skelton Inlet?,"Was Skelton Glacier named after the British poet, John Skelton?",Where is Skelton Glacier located?,What glacier was named after Skelton Inlet?,"A. Skelton Inlet  B. McMurdo Sound  C. Skelton Glacier was named after the British poet, John Skelton  D. Ross Ice Shelf",A
