topic,subject,relation,object,question,output_gpt_j_6b,eval_gpt_j_6b,multiple_choices,paraphrased_question,yes_question,no_question,locality_question,reversed_relation_question,multiple_choice_with_letters,multiple_choice_labels
human_entrepreneur,Michael Jackson,voice type,tenor,What is the voice type of Michael Jackson?,Michael Jackson is a male,0.0,"['tenor', 'Michael Jackson is a male', 'baritone', 'soprano']",What kind of voice does Michael Jackson have?,Is Michael Jackson's voice type tenor?,Is Michael Jackson's voice type 'Michael Jackson is a male'?,What is Michael Jackson known for in the music industry?,Who has a voice type of tenor?,A. baritone  B. soprano  C. Michael Jackson is a male  D. tenor,D
human_entrepreneur,Margarete Steiff,place of birth,Giengen an der Brenz,Who is the place of birth of Margarete Steiff?,Germany,0.0,"['Giengen an der Brenz', 'Germany', 'Berlin', 'Munich']",Where was Margarete Steiff born?,Is Giengen an der Brenz the place of birth of Margarete Steiff?,Is Germany the place of birth of Margarete Steiff?,What is Margarete Steiff famous for?,Who was born in Giengen an der Brenz?,A. Germany  B. Giengen an der Brenz  C. Munich  D. Berlin,B
human_entrepreneur,Konstantin Stanislavski,place of burial,Novodevichy Cemetery,What is the place of burial of Konstantin Stanislavski?,The place of burial of Konstantin Stanislavski is the Moscow State,0.0,"['Novodevichy Cemetery', 'The place of burial of Konstantin Stanislavski is the Moscow State', 'Kremlin Wall Necropolis', 'Tikhvin Cemetery']",Where is Konstantin Stanislavski buried?,Is the place of burial of Konstantin Stanislavski Novodevichy Cemetery?,Is the place of burial of Konstantin Stanislavski the Moscow State?,What is Konstantin Stanislavski known for in the field of theatre?,Who is buried in Novodevichy Cemetery?,A. Novodevichy Cemetery  B. Kremlin Wall Necropolis  C. The place of burial of Konstantin Stanislavski is the Moscow State  D. Tikhvin Cemetery,A
human_entrepreneur,Herbert Quandt,medical condition,blindness,What is the medical condition of Herbert Quandt?,He is a patient in the hospital,0.0,"['blindness', 'He is a patient in the hospital', 'deafness', 'diabetes']",What medical condition does Herbert Quandt have?,Is Herbert Quandt's medical condition blindness?,Is Herbert Quandt's medical condition that he is a patient in the hospital?,What is Herbert Quandt known for in the business world?,Who has the medical condition of blindness?,A. diabetes  B. blindness  C. He is a patient in the hospital  D. deafness,B
human_entrepreneur,Henry Clay Frick,notable work,The Frick Collection,What is the notable work of Henry Clay Frick?,Frick was the founder of the Carnegie Steel Company,0.0,"['The Frick Collection', 'Frick was the founder of the Carnegie Steel Company', 'The Metropolitan Museum of Art', 'The Guggenheim Museum']",What is Henry Clay Frick known for?,Is The Frick Collection the notable work of Henry Clay Frick?,Is Frick was the founder of the Carnegie Steel Company the notable work of Henry Clay Frick?,What industry was Henry Clay Frick associated with?,Who is associated with The Frick Collection?,A. The Frick Collection  B. The Metropolitan Museum of Art  C. The Guggenheim Museum  D. Frick was the founder of the Carnegie Steel Company,A
human_entrepreneur,Sebastián Piñera,member of political party,independent politician,What is the member of political party of Sebastián Piñera?,The member of political party of Sebastián Piñera is the Chilean Socialist,0.0,"['independent politician', 'The member of political party of Sebastián Piñera is the Chilean Socialist', 'Christian Democratic Party', 'National Renewal']",Which political party is Sebastián Piñera a member of?,Is Sebastián Piñera a member of the independent politician party?,Is Sebastián Piñera a member of the Chilean Socialist party?,What is a notable achievement of Sebastián Piñera?,Who is an independent politician that is a member of a political party?,A. National Renewal  B. The member of political party of Sebastián Piñera is the Chilean Socialist  C. Christian Democratic Party  D. independent politician,D
human_entrepreneur,David O. Selznick,manner of death,natural causes,What is the manner of death of David O. Selznick?,He died,0.0,"['natural causes', 'He died', 'accident', 'homicide']",How did David O. Selznick die?,Did David O. Selznick die of natural causes?,Did David O. Selznick die because he died?,What famous movie did David O. Selznick produce?,Who died of natural causes?,A. homicide  B. natural causes  C. accident  D. He died,B
human_entrepreneur,Michael Braungart,place of birth,Schwäbisch Gmünd,What is the place of birth of Michael Braungart?,Germany,0.0,"['Schwäbisch Gmünd', 'Germany', 'Berlin', 'Munich']",Where was Michael Braungart born?,Is Schwäbisch Gmünd the place of birth of Michael Braungart?,Is Germany the place of birth of Michael Braungart?,What is Michael Braungart known for?,Who was born in Schwäbisch Gmünd?,A. Germany  B. Berlin  C. Schwäbisch Gmünd  D. Munich,C
human_entrepreneur,Friedrich Jahn,place of death,Bad Wiessee,What is the place of death of Friedrich Jahn?,The place of death of Friedrich Jahn is the place of death of Friedrich J,0.0,"['Bad Wiessee', 'The place of death of Friedrich Jahn is the place of death of Friedrich J', 'Berlin', 'Munich']",Where did Friedrich Jahn pass away?,Is the place of death of Friedrich Jahn Bad Wiessee?,Is the place of death of Friedrich Jahn the place of death of Friedrich J?,What is Friedrich Jahn known for in the field of physical education?,Who died in Bad Wiessee?,A. Munich  B. Bad Wiessee  C. The place of death of Friedrich Jahn is the place of death of Friedrich J  D. Berlin,B
human_entrepreneur,Eric Schmidt,family name,Schmidt,Who is the family name of Eric Schmidt?,Google,0.0,"['Schmidt', 'Google', 'Smith', 'Johnson']",What is the family name of Eric Schmidt?,Is Schmidt the family name of Eric Schmidt?,Is Google the family name of Eric Schmidt?,What company did Eric Schmidt serve as CEO?,Who has the family name Schmidt?,A. Google  B. Smith  C. Schmidt  D. Johnson,C
